name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Endless Love,R,Drama,1981,"July 17, 1981",0.4054054054054054,0.0031521293018856524,Franco Zeffirelli,Scott Spencer,Brooke Shields,United States,0.10031968594957656,0.01141185770729221,PolyGram Filmed Entertainment,0.17491749174917495
Time Bandits,PG,Adventure,1981,"November 6, 1981",0.6891891891891891,0.024985781042640206,Terry Gilliam,Michael Palin,Sean Connery,United Kingdom,0.014036635140183764,0.014880244832131103,HandMade Films,0.15511551155115513
The Four Seasons,PG,Comedy,1981,"May 22, 1981",0.6621621621621621,0.0017354419751954716,Alan Alda,Alan Alda,Alan Alda,United States,0.10031968594957656,0.0177109174540441,Universal Pictures,0.14521452145214522
Friday the 13th Part 2,R,Horror,1981,"May 1, 1981",0.5675675675675674,0.025402453785784377,Steve Miner,Ron Kurz,Betsy Palmer,United States,0.0035028385070660704,0.007629290833565076,Georgetown Productions Inc.,0.0792079207920792
Scanners,R,Horror,1981,"January 14, 1981",0.6621621621621621,0.02123572635434267,David Cronenberg,David Cronenberg,Jennifer O'Neill,Canada,0.10031968594957656,0.004996255163622338,Canadian Film Development Corporation (CFDC),0.13201320132013203
For Your Eyes Only,PG,Action,1981,"June 26, 1981",0.6486486486486486,0.03915265430954201,John Glen,Richard Maibaum,Roger Moore,United Kingdom,0.07864392115663896,0.019251204511527165,Eon Productions,0.21122112211221125
Halloween II,R,Horror,1981,"October 30, 1981",0.6216216216216216,0.03206921767609111,Rick Rosenthal,John Carpenter,Jamie Lee Curtis,United States,0.007014104051438636,0.008967792017474413,Dino De Laurentiis Company,0.09570957095709573
Taps,PG,Drama,1981,"December 25, 1981",0.6621621621621621,0.007068853087440859,Harold Becker,Darryl Ponicsan,George C. Scott,United States,0.03931774705966623,0.012593132217894772,Major Studio Partners,0.2079207920792079
Reds,PG,Biography,1981,"December 25, 1981",0.7297297297297296,0.008735544060017541,Warren Beatty,Warren Beatty,Warren Beatty,United States,0.08987997089863116,0.014182951351373518,Barclays Mercantile Industrial Finance,0.4356435643564357
On Golden Pond,PG,Drama,1981,"February 12, 1982",0.7702702702702701,0.012068926005170908,Mark Rydell,Ernest Thompson,Katharine Hepburn,United States,0.10031968594957656,0.04189491439828554,IPC Films,0.15181518151815185
The Fox and the Hound,G,Animation,1981,"July 10, 1981",0.7297297297297296,0.036235945107532815,Directors,Daniel P. Mannix,Mickey Rooney,United States,0.03369972218867012,0.022287038549681372,Walt Disney Animation Studios,0.066006600660066
Chariots of Fire,PG,Biography,1981,"April 9, 1982",0.7162162162162161,0.023319090070063525,Hugh Hudson,Colin Welland,Ben Cross,United Kingdom,0.01544114135793279,0.020828215127105563,Enigma Productions,0.20462046204620463
Absence of Malice,PG,Drama,1981,"December 18, 1981",0.6756756756756757,0.004985489371720005,Sydney Pollack,Kurt Luedtke,Paul Newman,United States,0.03369972218867012,0.01430036446300693,Columbia Pictures,0.17491749174917495
Tarzan the Ape Man,Approved,Adventure,1981,"July 24, 1981",0.2027027027027027,0.0021937819926540593,John Derek,Tom Rowe,Bo Derek,United States,0.018250153793430843,0.012842224507919511,Metro-Goldwyn-Mayer (MGM),0.1716171617161716
Victory,PG,Drama,1981,"July 31, 1981",0.6486486486486486,0.012068926005170908,John Huston,Yabo Yablonsky,Michael Caine,United Kingdom,0.028081697317674025,0.0038117919575793406,Lorimar Film Entertainment,0.17491749174917495
Arthur,PG,Comedy,1981,"July 17, 1981",0.6756756756756757,0.011235580518882567,Steve Gordon,Steve Gordon,Dudley Moore,United States,0.01965466001117987,0.03352761811024671,Orion Pictures,0.11221122112211221
My Dinner with Andre,PG,Biography,1981,"October 11, 1981",0.7972972972972973,0.0079021985737292,Louis Malle,Wallace Shawn,Andre Gregory,United States,0.10031968594957656,1.6731958451636281e-06,Saga Productions Inc.,0.15511551155115513
Caveman,PG,Comedy,1981,"April 17, 1981",0.527027027027027,0.003027127478942401,Carl Gottlieb,Rudy De Luca,Ringo Starr,United States,0.10031968594957656,0.005607388892418577,Estudios Churubusco Azteca S.A.,0.09240924092409245
Dead & Buried,R,Horror,1981,"October 9, 1981",0.635135135135135,0.004568816628575834,Gary Sherman,Jeff Millar,James Farentino,United States,0.00841861026918766,0.027743737806663903,Aspen Productions (I),0.1023102310231023
History of the World: Part I,R,Comedy,1981,"June 12, 1981",0.6756756756756757,0.019569035381765985,Mel Brooks,Mel Brooks,Mel Brooks,United States,0.030890709753172076,0.011123941935167473,Brooksfilms,0.09570957095709573
